Ino,State,flag,transaction,time elapsed,culmulative time elapsed
131275,0,1,89039.26631644556,1.1231e-05,1.1231e-05
131275,0,1,1692047.377326565,5.91e-07,1.1822e-05
131275,0,1,143410.2968593145,6.973e-06,1.8795e-05
131275,1,4,347705.14603616134,2.876e-06,2.1671e-05
131275,5,4,189035.91682419658,5.29e-06,2.6961e-05
131275,5,4,7646.604525260558,0.000130777,0.00015773799999999999
131275,5,4,213310.58020477818,4.688e-06,0.000162426
131275,5,4,135427.9523293608,7.384e-06,0.00016981
136436,0,1,75878.2912208817,1.3179e-05,0.000182989
136436,0,1,560538.1165919283,1.784e-06,0.000184773
136436,0,1,144446.04940054892,6.923e-06,0.000191696
136436,1,4,39734.57305201255,2.5167e-05,0.000216863
136436,5,7,1557632.3987538943,6.42e-07,0.000217505
136436,5,7,3030303.0303030303,3.3e-07,0.000217835
136436,5,7,462107.20887245843,2.164e-06,0.000219999
136436,7,1,23314.91455083817,4.2891e-05,0.00026289
136436,7,1,1996007.984031936,5.01e-07,0.00026339099999999997
136436,7,1,744601.6381236038,1.343e-06,0.000264734
136436,7,4,5274.345058202398,0.000189597,0.000454331
136436,7,7,1488095.238095238,6.72e-07,0.000455003
136436,7,7,2777777.777777778,3.6e-07,0.00045536299999999997
136436,7,7,288433.8044418806,3.467e-06,0.00045882999999999997
136436,7,1,66454.01382243488,1.5048e-05,0.00047387799999999995
136436,7,1,2695417.7897574124,3.71e-07,0.00047424899999999994
136436,7,1,805152.9790660226,1.242e-06,0.0004754909999999999
136453,0,7,7994.755440431078,0.000125082,0.0006005729999999999
136453,0,7,1468428.7812041116,6.81e-07,0.0006012539999999999
136453,0,7,623830.3181534623,1.603e-06,0.0006028569999999998
136453,7,4,48146.36494944632,2.077e-05,0.0006236269999999999
136436,7,4,46785.81454103116,2.1374e-05,0.0006450009999999999
136436,7,7,1385041.5512465374,7.22e-07,0.0006457229999999998
136436,7,7,2325581.395348837,4.3e-07,0.0006461529999999999
136436,7,7,303306.0357901122,3.297e-06,0.0006494499999999999
136436,7,1,65539.3891728929,1.5258e-05,0.0006647079999999999
136436,7,1,2695417.7897574124,3.71e-07,0.0006650789999999998
136436,7,1,818330.6055646482,1.222e-06,0.0006663009999999999
8388610,4,4,1236.358331262433,0.000808827,0.001475128
8388610,4,4,368324.1252302026,2.715e-06,0.001477843
8388610,4,4,462107.20887245843,2.164e-06,0.001480007
8388610,4,4,950570.3422053232,1.052e-06,0.001481059
8388610,4,4,804505.2292839903,1.243e-06,0.001482302
8388610,4,4,1050420.168067227,9.52e-07,0.001483254
8388610,4,4,805152.9790660226,1.242e-06,0.001484496
8388610,4,4,762195.1219512195,1.312e-06,0.0014858080000000001
8388610,4,4,1018329.9389002036,9.82e-07,0.0014867900000000002
131708,32,1,9988.11414416844,0.000100119,0.0015869090000000003
131708,32,1,1533742.3312883438,6.52e-07,0.0015875610000000004
131708,32,1,639795.2655150353,1.563e-06,0.0015891240000000004
8388610,4,4,2814.1269171239624,0.00035535,0.0019444740000000003
131708,0,7,7517.044899309183,0.000133031,0.0020775050000000003
131708,0,7,1536098.3102918586,6.51e-07,0.0020781560000000003
131708,0,7,604960.6775559589,1.653e-06,0.002079809
131708,7,4,55141.990625861596,1.8135e-05,0.002097944
136453,39,1,1061.5970453631035,0.000941977,0.003039921
136453,39,1,1584786.053882726,6.31e-07,0.003040552
136453,39,1,623830.3181534623,1.603e-06,0.0030421550000000004
274245,7,1,654.3200829154408,0.001528304,0.004570459000000001
