Ino,State,flag,transaction,time elapsed,culmulative time elapsed
131274,5,4,4771.561493498747,0.000209575,0.000209575
136329,0,1,37657.69158350593,2.6555e-05,0.00023613
136329,0,1,697836.7062107467,1.433e-06,0.00023756300000000002
136329,0,1,106746.37062339879,9.368e-06,0.00024693100000000004
136329,1,4,39142.00720212932,2.5548e-05,0.00027247900000000006
136329,5,7,1610305.958132045,6.21e-07,0.0002731000000000001
136329,5,7,3021148.0362537764,3.31e-07,0.0002734310000000001
136329,5,7,522739.15316257183,1.913e-06,0.00027534400000000007
136329,7,1,28788.576692768307,3.4736e-05,0.00031008000000000007
136329,7,1,2777777.777777778,3.6e-07,0.00031044000000000004
136329,7,1,817661.4881439084,1.223e-06,0.00031166300000000006
131274,5,4,7521.850977088442,0.000132946,0.00044460900000000005
136329,7,4,23864.639763262774,4.1903e-05,0.00048651200000000003
136329,7,7,1661129.5681063123,6.02e-07,0.000487114
136329,7,7,2123142.2505307854,4.71e-07,0.000487585
136329,7,7,315955.766192733,3.165e-06,0.00049075
136329,7,1,71906.23427051125,1.3907e-05,0.0005046569999999999
136329,7,1,2631578.947368421,3.8e-07,0.000505037
136329,7,1,838222.9673093043,1.193e-06,0.00050623
131274,5,4,5727.770522601782,0.000174588,0.0006808179999999999
136329,7,1,40754.77849777887,2.4537e-05,0.000705355
136329,7,1,1445086.7052023122,6.92e-07,0.000706047
136329,7,1,343053.1732418525,2.915e-06,0.000708962
136329,7,4,109445.11327569223,9.137e-06,0.000718099
136329,7,7,1751313.4851138354,5.71e-07,0.00071867
136329,7,7,2557544.757033248,3.91e-07,0.000719061
136329,7,7,441696.113074205,2.264e-06,0.000721325
131274,5,1,1937984.496124031,5.16e-07,0.000721841
131274,5,1,874890.6386701663,1.143e-06,0.000722984
131274,5,1,182481.7518248175,5.48e-06,0.000728464
136329,7,1,99364.06995230525,1.0064e-05,0.0007385279999999999
136329,7,1,1996007.984031936,5.01e-07,0.0007390289999999999
136329,7,1,643915.003219575,1.553e-06,0.0007405819999999998
131274,5,4,119.59834093181459,0.00836132,0.009101902
131274,5,1,53954.893708859396,1.8534e-05,0.009120436
131274,5,1,1133786.8480725624,8.82e-07,0.009121318000000002
131274,5,1,108365.8430862592,9.228e-06,0.009130546000000002
131274,5,4,4457.460228311113,0.000224343,0.009354889000000002
131274,5,4,5408.09483635105,0.000184908,0.009539797000000001
131274,5,4,5266.539567511771,0.000189878,0.009729675
131275,0,1,103423.31161443789,9.669e-06,0.009739344
131275,0,1,2123142.2505307854,4.71e-07,0.009739815
131275,0,1,275027.502750275,3.636e-06,0.009743451
131275,1,4,402414.48692152917,2.485e-06,0.009745936
131275,5,4,188679.24528301886,5.3e-06,0.009751236
131275,5,4,286779.46659019217,3.487e-06,0.009754723
131275,5,4,244678.24810374356,4.087e-06,0.00975881
131275,5,4,127795.5271565495,7.825e-06,0.009766635
136346,0,7,2229.033156868208,0.000448625,0.010215259999999999
136346,0,7,845308.53761623,1.183e-06,0.010216442999999999
136346,0,7,522739.15316257183,1.913e-06,0.010218355999999998
136346,7,4,41832.25266680611,2.3905e-05,0.010242260999999997
8388610,4,4,1400.5445317139304,0.000714008,0.010956268999999998
